"","year","low","central","high"
"245",2244,3433.4511095096,6866.9022190192,10300.3533285288
"246",2245,3485.16464770119,6970.32929540237,10455.4939431036
"247",2246,3537.65707860069,7075.31415720139,10612.9712358021
"248",2247,3590.94013364003,7181.88026728006,10772.8204009201
"249",2248,3645.02572094613,7290.05144189225,10935.0771628384
"250",2249,3699.92592800231,7399.85185600463,11099.7777840069
"251",2250,3755.65302434973,7511.30604869946,11266.9590730492
"252",2251,3812.21946432933,7624.43892865866,11436.658392988
"253",2252,3869.63788986542,7739.27577973085,11608.9136695963
"254",2253,3927.92113329091,7855.84226658183,11783.7633998727
"255",2254,3987.08222021517,7974.16444043034,11961.2466606455
"256",2255,4047.13437243511,8094.26874487022,12141.4031173053
"257",2256,4108.09101089014,8216.18202178028,12324.2730326704
"258",2257,4169.96575866146,8339.93151732293,12509.8972759844
"259",2258,4232.77244401684,8465.54488803368,12698.3173320505
"260",2259,4296.52510350094,8593.05020700187,12889.5753105028
"261",2260,4361.23798507234,8722.47597014468,13083.713955217
"262",2261,4426.92555128785,8853.8511025757,13280.7766538635
"263",2262,4493.60248253456,8987.20496506912,13480.8074476037
"264",2263,4561.28368031094,9122.56736062188,13683.8510409328
"265",2264,4629.984270557,9259.968541114,13889.952811671
"266",2265,4699.71960703482,9399.43921406963,14099.1588211044
"267",2266,4770.50527475992,9541.01054951984,14311.5158242798
"268",2267,4842.35709348425,9684.71418696851,14527.0712804528
"269",2268,4915.29112123187,9830.58224246375,14745.8733636956
"270",2269,4989.32365788761,9978.64731577523,14967.9709736628
"271",2270,5064.47124883994,10128.9424976799,15193.4137465198
"272",2271,5140.75068867864,10281.5013773573,15422.2520660359
"273",2272,5218.17902494825,10436.3580498965,15654.5370748448
"274",2273,5296.77356195787,10593.5471239157,15890.3206858736
"275",2274,5376.55186464862,10753.1037292972,16129.6555939459
"276",2275,5457.53176251912,10915.0635250382,16372.5952875573
"277",2276,5539.73135361013,11079.4627072203,16619.1940608304
"278",2277,5623.16900854938,11246.3380170988,16869.5070256481
"279",2278,5707.86337465694,11415.7267493139,17123.5901239708
"280",2279,5793.83338011297,11587.6667602259,17381.5001403389
"281",2280,5881.09823818774,11762.1964763755,17643.2947145632
"282",2281,5969.67745153564,11939.3549030713,17909.0323546069
"283",2282,6059.59081655383,12119.1816331077,18178.7724496615
"284",2283,6150.8584278063,12301.7168556126,18452.5752834189
"285",2284,6243.50068251505,12487.0013650301,18730.5020475452
"286",2285,6337.53828511846,12675.0765702369,19012.6148553554
"287",2286,6432.99225189848,12865.984503797,19298.9767556954
"288",2287,6529.88391567757,13059.7678313551,19589.6517470327
"289",2288,6628.23493058637,13256.4698611727,19884.7047917591
"290",2289,6728.06727690292,13456.1345538058,20184.2018307088
"291",2290,6829.40326596531,13658.8065319306,20488.2097978959
"292",2291,6932.26554515778,13864.5310903156,20796.7966354733
"293",2292,7036.67710297221,14073.3542059444,21110.0313089166
"294",2293,7142.66127414579,14285.3225482916,21427.9838224374
"295",2294,7250.24174487592,14500.4834897518,21750.7252346278
"296",2295,7359.44255811402,14718.885116228,22078.3276743421
"297",2296,7470.28811893867,14940.5762378773,22410.864356816
"298",2297,7582.80320000994,15165.6064000199,22748.4096000298
"299",2298,7697.01294710577,15394.0258942115,23091.0388413173
"300",2299,7812.94288474159,15625.8857694832,23438.8286542248
"301",2300,7930.61892187505,15861.2378437501,23791.8567656251
"302",2301,8050.06735769614,16100.1347153923,24150.2020730884
"303",2302,8171.3148875048,16342.6297750096,24513.9446625144
"304",2303,8294.38860867703,16588.7772173541,24883.1658260311
"305",2304,8419.31602672083,16838.6320534417,25257.9480801625
"306",2305,8546.12506142319,17092.2501228464,25638.3751842696
"307",2306,8674.84405309012,17349.6881061802,26024.5321592703
"308",2307,8805.50176888016,17611.0035377603,26416.5053066405
"309",2308,8938.12740923357,17876.2548184671,26814.3822277007
"310",2309,9072.75061439832,18145.5012287966,27218.251843195
"311",2310,9209.40147105409,18418.8029421082,27628.2044131623
"312",2311,9348.11051903666,18696.2210380733,28044.33155711
"313",2312,9488.90875816294,18977.8175163259,28466.7262744888
"314",2313,9631.82765515915,19263.6553103183,28895.4829654774
"315",2314,9776.89915069327,19553.7983013865,29330.6974520798
"316",2315,9924.15566651318,19848.3113330264,29772.4669995396
"317",2316,10073.6301126929,20147.2602253859,30220.8903380788
"318",2317,10225.3558949875,20450.711789975,30676.0676849625
"319",2318,10379.3669222985,20758.733844597,31138.1007668955
"320",2319,10535.6976142528,21071.3952285055,31607.0928427583
"321",2320,10694.3829088942,21388.7658177883,32083.1487266825
"322",2321,10855.4582704925,21710.9165409849,32566.3748114774
"323",2322,11018.9596974687,22037.9193949374,33056.8790924061
"324",2323,11184.9237304407,22369.8474608814,33554.771191322
"325",2324,11353.3874603892,22706.7749207784,34060.1623811676
"326",2325,11524.3885369476,23048.7770738951,34573.1656108427
"327",2326,11697.9651768156,23395.9303536312,35093.8955304468
"328",2327,11874.156172301,23748.3123446019,35622.4685169029
"329",2328,12053.0008999885,24106.0017999771,36159.0026999656
"330",2329,12234.5393295407,24469.0786590814,36703.6179886221
"331",2330,12418.8120326301,24837.6240652602,37256.4360978903
"332",2331,12605.8601920067,25211.7203840133,37817.58057602
"333",2332,12795.7256107019,25591.4512214039,38387.1768321058
"334",2333,12988.4507213712,25976.9014427424,38965.3521641137
"335",2334,13184.0785957768,26368.1571915536,39552.2357873304
"336",2335,13382.6529544141,26765.3059088283,40147.9588632424
"337",2336,13584.2181762825,27168.436352565,40752.6545288476
"338",2337,13788.8193088037,27577.6386176073,41366.457926411
"339",2338,13996.5020778891,27993.0041557782,41989.5062336673
"340",2339,14207.3128981592,28414.6257963185,42621.9386944777
"341",2340,14421.2988833167,28842.5977666334,43263.8966499501
"342",2341,14638.5078566756,29277.0157133513,43915.5235700269
"343",2342,14858.9883618493,29717.9767236986,44576.9650855478
"344",2343,15082.7896735995,30165.579347199,45248.3690207985
"345",2344,15309.9618088487,30619.9236176973,45929.885426546
"346",2345,15540.5555378581,31081.1110757161,46621.6666135742
"347",2346,15774.6223955744,31549.2447911487,47323.8671867231
"348",2347,16012.2146931468,32024.4293862936,48036.6440794404
"349",2348,16253.3855296186,32506.7710592372,48760.1565888558
"350",2349,16498.1888037937,32996.3776075874,49494.5664113811
"351",2350,16746.6792262825,33493.358452565,50240.0376788474
"352",2351,16998.9123317291,33997.8246634581,50996.7369951872
"353",2352,17254.9444912222,34509.8889824444,51764.8334736666
"354",2353,17514.8329248943,35029.6658497885,52544.4987746828
"355",2354,17778.6357147088,35557.2714294175,53335.9071441263
"356",2355,18046.4118174411,36092.8236348822,54139.2354523233
"357",2356,18318.2210778546,36636.4421557093,54954.6632335639
"358",2357,18594.1242420756,37188.2484841511,55782.3727262267
"359",2358,18874.1829711683,37748.3659423365,56622.5489135048
"360",2359,19158.4598549167,38316.9197098334,57475.3795647501
"361",2360,19447.0184258119,38894.0368516239,58341.0552774358
"362",2361,19739.923173251,39479.846346502,59219.7695197529
"363",2362,20037.2395579496,40074.4791158992,60111.7186738488
"364",2363,20339.0340265714,40678.0680531429,61017.1020797143
"365",2364,20645.3740265788,41290.7480531577,61936.1220797365
"366",2365,20956.328021306,41912.6560426121,62868.9840639181
"367",2366,21271.96550526,42543.9310105201,63815.8965157801
"368",2367,21592.3570196519,43184.7140393039,64777.0710589558
"369",2368,21917.5741681615,43835.1483363229,65752.7225044844
"370",2369,22247.6896329404,44495.3792658808,66743.0688988213
"371",2370,22582.7771908557,45165.5543817114,67748.3315725671
"372",2371,22922.9117299777,45845.8234599553,68768.735189933
"373",2372,23268.1692663167,46536.3385326335,69804.5077989502
"374",2373,23618.6269608123,47237.2539216246,70855.8808824369
"375",2374,23974.3631365765,47948.7262731529,71923.0894097294
"376",2375,24335.4572963995,48670.9145927989,73006.3718891984
"377",2376,24701.9901405168,49403.9802810336,74105.9704215505
"378",2377,25074.0435846451,50148.0871692902,75222.1307539354
"379",2378,25451.7007782893,50903.4015565787,76355.102334868
"380",2379,25835.0461233251,51670.0922466501,77505.1383699752
"381",2380,26224.1652928624,52448.3305857247,78672.4958785871
"382",2381,26619.145250392,53238.290500784,79857.4357511761
"383",2382,27020.074269221,54040.1485384419,81060.2228076629
"384",2383,27427.0419522006,54854.0839044011,82281.1258566017
"385",2384,27840.1392517509,55680.2785035019,83520.4177552528
"386",2385,28259.458490189,56518.916980378,84778.3754705669
"387",2386,28685.0933803604,57370.1867607209,86055.2801410813
"388",2387,29117.1390465839,58234.2780931678,87351.4171397517
"389",2388,29555.6920459099,59111.3840918198,88667.0761377296
"390",2389,30000.8503897004,60001.7007794007,90002.5511691011
"391",2390,30452.7135655324,60905.4271310648,91358.1406965972
"392",2391,30911.3825594336,61822.7651188673,92734.1476783009
"393",2392,31376.9598784506,62753.9197569012,94130.8796353518
"394",2393,31849.549573558,63699.099147116,95548.648720674
"395",2394,32329.2572629132,64658.5145258264,96987.7717887396
"396",2395,32816.1901554597,65632.3803109194,98448.5704663791
"397",2396,33310.4570748883,66620.9141497765,99931.3712246648
"398",2397,33812.168483957,67624.336967914,101436.505451871
"399",2398,34321.4365091785,68642.873018357,102964.309527536
"400",2399,34838.3749658793,69676.7499317586,104515.124897638
"401",2400,35363.0993836349,70726.1987672699,106089.298150905
"402",2401,35895.7270320912,71791.4540641824,107687.181096274
"403",2402,36436.3769471712,72872.7538943425,109309.130841514
"404",2403,36985.1699576792,73970.3399153584,110955.509873038
"405",2404,37542.228712304,75084.4574246081,112626.686136912
"406",2405,38107.6777070292,76215.3554140583,114323.033121087
"407",2406,38681.6433129572,77363.2866259145,116044.929938872
"408",2407,39264.2538045517,78528.5076091034,117792.761413655
"409",2408,39855.6393883047,79711.2787766095,119566.918164914
"410",2409,40455.9322318369,80911.8644636738,121367.796695511
"411",2410,41065.2664934353,82130.5329868706,123195.799480306
"412",2411,41683.7783520353,83367.5567040706,125051.335056106
"413",2412,42311.6060376564,84623.2120753127,126934.818112969
"414",2413,42948.889862294,85897.779724588,128846.669586882
"415",2414,43595.7722512779,87191.5445025557,130787.316753834
"416",2415,44252.3977751025,88504.7955502051,132757.193325308
"417",2416,44918.913181736,89837.826363472,134756.739545208
"418",2417,45595.467429418,91190.934858836,136786.402288254
"419",2418,46282.211719949,92564.4234398981,138846.635159847
"420",2419,46979.2995324828,93958.5990649655,140937.898597448
"421",2420,47686.8866578267,95373.7733156535,143060.65997348
"422",2421,48405.1312332587,96810.2624665174,145215.393699776
"423",2422,49134.1937778703,98268.3875557407,147402.581333611
"424",2423,49874.2372284399,99748.4744568798,149622.71168532
"425",2424,50625.4269758472,101250.853951694,151876.280927542
"426",2425,51387.9309020364,102775.861804073,154163.792706109
"427",2426,52161.9194175358,104323.838835072,156485.758252607
"428",2427,52947.5654995413,105895.130999083,158842.696498624
"429",2428,53745.0447305771,107490.089461154,161235.134191731
"430",2429,54554.5353377344,109109.070675469,163663.606013203
"431",2430,55376.2182325037,110752.436465007,166128.654697511
"432",2431,56210.2770512068,112420.554102414,168630.83115362
"433",2432,57056.8981960353,114113.796392071,171170.694588106
"434",2433,57916.2708767123,115832.541753425,173748.812630137
"435",2434,58788.5871527764,117577.174305553,176365.761458329
"436",2435,59674.0419765054,119348.083953011,179022.125929516
"437",2436,60572.8332364861,121145.666472972,181718.499709458
"438",2437,61485.1618018384,122970.323603677,184455.485405515
"439",2438,62411.2315671096,124822.463134219,187233.694701329
"440",2439,63351.2494978408,126702.498995682,190053.748493522
"441",2440,64305.4256768218,128610.851353644,192916.277030465
"442",2441,65273.9733510416,130547.946702083,195821.920053125
"443",2442,66257.1089793476,132514.217958695,198771.326938043
"444",2443,67255.0522808193,134510.104561639,201765.156842458
"445",2444,68268.0262838761,136536.052567752,204804.078851628
"446",2445,69296.257376119,138592.514752238,207888.772128357
"447",2446,70339.9753549266,140679.950709853,211019.92606478
"448",2447,71399.4134788123,142798.826957625,214198.240436437
"449",2448,72474.8085195528,144949.617039106,217424.425558658
"450",2449,73566.4008151068,147132.801630214,220699.20244532
"451",2450,74674.4343233256,149348.868646651,224023.302969977
"452",2451,75799.1566764755,151598.313352951,227397.470029426
"453",2452,76940.8192365807,153881.638473161,230822.457709742
"454",2453,78099.6771515982,156199.354303196,234299.031454795
"455",2454,79275.9894124431,158551.978824886,237827.968237329
"456",2455,80470.018910868,160940.037821736,241410.056732604
"457",2456,81682.0324982166,163364.064996433,245046.09749465
"458",2457,82912.301045062,165824.602090124,248736.903135186
"459",2458,84161.0995017432,168322.199003486,252483.29850523
"460",2459,85428.7069598115,170857.413919623,256286.120879434
"461",2460,86715.406714407,173430.813428814,260146.220143221
"462",2461,88021.48632757,176042.97265514,264064.45898271
"463",2462,89347.2376925076,178694.475385015,268041.713077523
"464",2463,90692.9570988294,181385.914197659,272078.871296488
"465",2464,92058.945298762,184117.890597524,276176.835896286
"466",2465,93445.5075743677,186891.015148735,280336.522723103
"467",2466,94852.9538057681,189705.907611536,284558.861417304
"468",2467,96281.5985404,192563.1970808,288844.7956212
"469",2468,97731.7610633133,195463.522126627,293195.28318994
"470",2469,99203.7654685247,198407.530937049,297611.296405574
"471",2470,100697.940731453,201395.881462906,302093.822194359
"472",2471,102214.620782439,204429.241564877,306643.862347316
"473",2472,103754.144581373,207508.289162747,311262.43374412
"474",2473,105316.856193454,210633.712386908,315950.568580362
"475",2474,106903.104866078,213806.209732155,320709.314598233
"476",2475,108513.245106891,217026.490213783,325539.735320674
"477",2476,110147.636763025,220295.27352605,330442.910289075
"478",2477,111806.645101509,223613.290203019,335419.935304528
"479",2478,113490.64089091,226981.28178182,340471.92267273
"480",2479,115200.000484191,230400.000968381,345600.001452572
"481",2480,116935.105902819,233870.211805639,350805.317708458
"482",2481,118696.344922152,237392.689844304,356089.034766456
"483",2482,120484.111158092,240968.222316183,361452.333474275
"484",2483,122298.804155057,244597.608310114,366896.412465171
