"year","temp_path","scc"
"2721",1.677970645,13677649.9564167
"2722",1.677970645,13910164.9439951
"2723",1.677970645,14146632.5322112
"2724",1.677970645,14387119.9105813
"2725",1.677970645,14631695.4107003
"2726",1.677970645,14880428.5256532
"2727",1.677970645,15133389.9297554
"2728",1.677970645,15390651.4986292
"2729",1.677970645,15652286.3296216
"2730",1.677970645,15918368.7625679
"2731",1.677970645,16188974.4009098
"2732",1.677970645,16464180.133171
"2733",1.677970645,16744064.1547984
"2734",1.677970645,17028705.9903742
"2735",1.677970645,17318186.5162054
"2736",1.677970645,17612587.9832975
"2737",1.677970645,17911994.0407181
"2738",1.677970645,18216489.7593577
"2739",1.677970645,18526161.6560946
"2740",1.677970645,18841097.7183694
"2741",1.677970645,19161387.4291785
"2742",1.677970645,19487121.7924911
"2743",1.677970645,19818393.3590982
"2744",1.677970645,20155296.2529019
"2745",1.677970645,20497926.1976499
"2746",1.677970645,20846380.544125
"2747",1.677970645,21200758.2977971
"2748",1.677970645,21561160.1469437
"2749",1.677970645,21927688.4912493
"2750",1.677970645,22300447.4708906
"2751",1.677970645,22679542.9961152
"2752",1.677970645,23065082.7773236
"2753",1.677970645,23457176.355662
"2754",1.677970645,23855935.1341347
"2755",1.677970645,24261472.4092455
"2756",1.677970645,24673903.4031763
"2757",1.677970645,25093345.2965129
"2758",1.677970645,25519917.2615261
"2759",1.677970645,25953740.4960187
"2760",1.677970645,26394938.257748
"2761",1.677970645,26843635.8994319
"2762",1.677970645,27299960.9043505
"2763",1.677970645,27764042.9225531
"2764",1.677970645,28236013.8076787
"2765",1.677970645,28716007.6544037
"2766",1.677970645,29204160.836525
"2767",1.677970645,29700612.0456897
"2768",1.677970645,30205502.3307836
"2769",1.677970645,30718975.1379886
"2770",1.677970645,31241176.3515201
"2771",1.677970645,31772254.3350564
"2772",1.677970645,32312359.9738734
"2773",1.677970645,32861646.7176929
"2774",1.677970645,33420270.6242601
"2775",1.677970645,33988390.4036614
"2776",1.677970645,34566167.4633941
"2777",1.677970645,35153765.9542027
"2778",1.677970645,35751352.8166931
"2779",1.677970645,36359097.8287395
"2780",1.677970645,36977173.653695
"2781",1.677970645,37605755.8894227
"2782",1.677970645,38245023.1181593
"2783",1.677970645,38895156.9572245
"2784",1.677970645,39556342.1105929
"2785",1.677970645,40228766.4213425
"2786",1.677970645,40912620.9249918
"2787",1.677970645,41608099.9037445
"2788",1.677970645,42315400.941656
"2789",1.677970645,43034724.980735
"2790",1.677970645,43766276.3779995
"2791",1.677970645,44510262.9635015
"2792",1.677970645,45266896.0993367
"2793",1.677970645,46036390.7396566
"2794",1.677970645,46818965.4917009
"2795",1.677970645,47614842.6778644
"2796",1.677970645,48424248.3988192
"2797",1.677970645,49247412.5977101
"2798",1.677970645,50084569.125437
"2799",1.677970645,50935955.8070487
"2800",1.677970645,51801814.5092642
"2801",1.677970645,52682391.209138
"2802",1.677970645,53577936.0638945
"2803",1.677970645,54488703.4819467
"2804",1.677970645,55414952.1951215
"2805",1.677970645,56356945.3321105
"2806",1.677970645,57314950.4931687
"2807",1.677970645,58289239.8260829
"2808",1.677970645,59280090.1034273
"2809",1.677970645,60287782.8011325
"2810",1.677970645,61312604.17839
"2811",1.677970645,62354845.3589098
"2812",1.677970645,63414802.4135606
"2813",1.677970645,64492776.4444133
"2814",1.677970645,65589073.6702088
"2815",1.677970645,66704005.5132789
"2816",1.677970645,67837888.6879439
"2817",1.677970645,68991045.2904079
"2818",1.677970645,70163802.8901824
"2819",1.677970645,71356494.6230631
"2820",1.677970645,72569459.2856816
"2821",1.677970645,73803041.4316653
"2822",1.677970645,75057591.4694297
"2823",1.677970645,76333465.7616279
"2824",1.677970645,77631026.7262915
"2825",1.677970645,78950642.9396877
"2826",1.677970645,80292689.2409204
"2827",1.677970645,81657546.8383091
"2828",1.677970645,83045603.4175725
"2829",1.677970645,84457253.2518495
"2830",1.677970645,85892897.3135852
"2831",1.677970645,87352943.3883181
"2832",1.677970645,88837806.1903993
"2833",1.677970645,90347907.480672
"2834",1.677970645,91883676.1861521
"2835",1.677970645,93445548.5217396
"2836",1.677970645,95033968.1139921
"2837",1.677970645,96649386.1270029
"2838",1.677970645,98292261.3904142
"2839",1.677970645,99963060.5296008
"2840",1.677970645,101662258.098065
"2841",1.677970645,103390336.712079
"2842",1.677970645,105147787.187609
"2843",1.677970645,106935108.679563
"2844",1.677970645,108752808.823408
"2845",1.677970645,110601403.879178
"2846",1.677970645,112481418.877937
"2847",1.677970645,114393387.770724
"2848",1.677970645,116337853.580014
"2849",1.677970645,118315368.553771
"2850",1.677970645,120326494.32209
"2851",1.677970645,122371802.056517
"2852",1.677970645,124451872.632056
"2853",1.677970645,126567296.791936
"2854",1.677970645,128718675.315166
"2855",1.677970645,130906619.186935
"2856",1.677970645,133131749.771902
"2857",1.677970645,135394698.990426
"2858",1.677970645,137696109.497782
"2859",1.677970645,140036634.866421
"2860",1.677970645,142416939.771323
"2861",1.677970645,144837700.178483
"2862",1.677970645,147299603.536604
"2863",1.677970645,149803348.97204
"2864",1.677970645,152349647.48704
"2865",1.677970645,154939222.161356
"2866",1.677970645,157572808.357273
"2867",1.677970645,160251153.928109
"2868",1.677970645,162975019.430256
"2869",1.677970645,165745178.338817
"2870",1.677970645,168562417.266893
"2871",1.677970645,171427536.188594
"2872",1.677970645,174341348.665826
"2873",1.677970645,177304682.07893
"2874",1.677970645,180318377.861219
"2875",1.677970645,183383291.737506
"2876",1.677970645,186500293.966663
"2877",1.677970645,189670269.588296
"2878",1.677970645,192894118.673604
"2879",1.677970645,196172756.580484
"2880",1.677970645,199507114.212966
"2881",1.677970645,202898138.285038
"2882",1.677970645,206346791.588952
"2883",1.677970645,209854053.268065
"2884",1.677970645,213420919.094312
"2885",1.677970645,217048401.750379
"2886",1.677970645,220737531.116657
"2887",1.677970645,224489354.563053
"2888",1.677970645,228304937.24576
"2889",1.677970645,232185362.409032
"2890",1.677970645,236131731.692096
"2891",1.677970645,240145165.441246
"2892",1.677970645,244226803.027229
"2893",1.677970645,248377803.168012
"2894",1.677970645,252599344.25701
"2895",1.677970645,256892624.696874
"2896",1.677970645,261258863.238935
"2897",1.677970645,265699299.3284
"2898",1.677970645,270215193.45538
"2899",1.677970645,274807827.511881
"2900",1.677970645,279478505.154828
"2901",1.677970645,284228552.175236
"2902",1.677970645,289059316.873637
"2903",1.677970645,293972170.441863
"2904",1.677970645,298968507.351286
"2905",1.677970645,304049745.747637
"2906",1.677970645,309217327.852503
"2907",1.677970645,314472720.371631
"2908",1.677970645,319817414.910126
"2909",1.677970645,325252928.394687
"2910",1.677970645,330780803.502995
"2911",1.677970645,336402609.10035
"2912",1.677970645,342119940.683708
"2913",1.677970645,347934420.833239
"2914",1.677970645,353847699.671501
"2915",1.677970645,359861455.330411
"2916",1.677970645,365977394.426098
"2917",1.677970645,372197252.54179
"2918",1.677970645,378522794.718877
"2919",1.677970645,384955815.956278
"2920",1.677970645,391498141.718246
"2921",1.677970645,398151628.450768
"2922",1.677970645,404918164.106705
"2923",1.677970645,411799668.679791
"2924",1.677970645,418798094.747677
"2925",1.677970645,425915428.024164
"2926",1.677970645,433153687.920743
"2927",1.677970645,440514928.117657
"2928",1.677970645,448001237.144608
"2929",1.677970645,455614738.971263
"2930",1.677970645,463357593.607763
"2931",1.677970645,471231997.715365
"2932",1.677970645,479240185.227415
"2933",1.677970645,487384427.980797
"2934",1.677970645,495667036.358063
"2935",1.677970645,504090359.940419
"2936",1.677970645,512656788.171711
"2937",1.677970645,521368751.033663
"2938",1.677970645,530228719.732499
"2939",1.677970645,539239207.397159
"2940",1.677970645,548402769.789319
"2941",1.677970645,557722006.025391
"2942",1.677970645,567199559.310712
"2943",1.677970645,576838117.686131
"2944",1.677970645,586640414.787204
"2945",1.677970645,596609230.61619
"2946",1.677970645,606747392.327086
"2947",1.677970645,617057775.023916
"2948",1.677970645,627543302.572473
"2949",1.677970645,638206948.425769
"2950",1.677970645,649051736.463417
"2951",1.677970645,660080741.845152
"2952",1.677970645,671297091.878769
"2953",1.677970645,682703966.902696
"2954",1.677970645,694304601.183431
"2955",1.677970645,706102283.82814
"2956",1.677970645,718100359.712618
"2957",1.677970645,730302230.424918
"2958",1.677970645,742711355.224854
"2959",1.677970645,755331252.019701
"2960",1.677970645,768165498.356342
"2961",1.677970645,781217732.430098
"2962",1.677970645,794491654.110597
"2963",1.677970645,807991025.984907
"2964",1.677970645,821719674.418227
"2965",1.677970645,835681490.632465
"2966",1.677970645,849880431.802974
"2967",1.677970645,864320522.173739
"2968",1.677970645,879005854.191358
"2969",1.677970645,893940589.658111
"2970",1.677970645,909128960.904417
"2971",1.677970645,924575271.981044
"2972",1.677970645,940283899.87138
