"year","var","val","n_sim","started"
1999,"additionality",-91244.7455116063,7,FALSE
2000,"project",-490509.932965443,7,FALSE
2000,"counterfactual",-248479.034790516,7,FALSE
2000,"additionality",-242030.898174927,7,FALSE
2001,"project",-160607.369147137,7,FALSE
2001,"counterfactual",-342049.263745368,7,FALSE
2001,"additionality",181441.894598231,7,FALSE
2002,"project",-144712.802699819,7,FALSE
2002,"counterfactual",-99873.8695118278,7,FALSE
2002,"additionality",-44838.9331879914,7,FALSE
2003,"project",-256877.868197322,7,FALSE
2003,"counterfactual",-205590.798393741,7,FALSE
2003,"additionality",-51287.0698035806,7,FALSE
2004,"project",-94030.8101416975,7,FALSE
2004,"counterfactual",-189023.42217356,7,FALSE
2004,"additionality",94992.6120318621,7,FALSE
2005,"project",-130385.11538811,7,FALSE
2005,"counterfactual",-339579.284243464,7,FALSE
